,Model_name,Racket_type,Weight,Brand,Grip_size,Color,Tension,Material,Head_shape,Price,Playing_level
2,Aeronaut 7000,even balance,82,Li-Ning,G3,Red/White,27,carbon,isometric,1600,Intermediate
4,Meteor X 80,head light,76,Victor,G5,Green,25,carbon,oval,1500,Intermediate
6,Turbo Charging 20,even balance,79,Li-Ning,G4,White/Blue,26,carbon,oval,1700,Intermediate
11,JS-12,even balance,81,Victor,G5,Black/Red,26,carbon,oval,1600,Intermediate
14,Jetspeed S 10,head light,77,Victor,G5,Orange,25,carbon,isometric,1500,Intermediate
18,Thruster F Claw,head heavy,85,Kawasaki,G4,Green/Black,28,carbon,isometric,1600,Intermediate
21,Jetspeed 12,head light,77,Victor,G5,Blue/Yellow,26,carbon,oval,1600,Intermediate
25,Thruster K 9,even balance,80,Kawasaki,G3,Green/White,27,carbon,oval,1500,Intermediate
28,Meteor X 90,even balance,82,Victor,G3,Black/Orange,28,graphite,isometric,1800,Intermediate
31,JS-10,head light,76,Victor,G3,White/Red,25,carbon,oval,1600,Intermediate
34,Windstorm 900,head light,77,Carlton,G3,Black/Silver,26,graphite,isometric,1500,Intermediate
38,Astrox 77,even balance,82,Yonex,G4,Yellow/Black,27,graphite,isometric,1800,Intermediate
43,Thruster K 20,even balance,80,Kawasaki,G4,Green/Black,27,graphite,oval,1600,Intermediate
48,JS-15,head light,76,Victor,G3,Orange/Black,25,carbon,isometric,1500,Intermediate
51,Jetspeed 15,head light,77,Victor,G3,Red/Silver,26,graphite,oval,1700,Intermediate
55,Turbo Charging 40,even balance,82,Li-Ning,G4,Black/Red,27,graphite,oval,1700,Intermediate
57,Meteor X 70,head light,76,Victor,G3,Green/White,25,graphite,oval,1600,Intermediate
63,Thruster K 20,even balance,80,Kawasaki,G4,Green/Black,27,graphite,oval,1600,Intermediate
68,JS-15,head light,76,Victor,G3,Orange/Black,25,carbon,isometric,1500,Intermediate
71,Jetspeed 15,head light,77,Victor,G3,Red/Silver,26,graphite,oval,1700,Intermediate
75,Turbo Charging 40,even balance,82,Li-Ning,G4,Black/Red,27,graphite,oval,1700,Intermediate
77,Meteor X 70,head light,76,Victor,G3,Green/White,25,graphite,oval,1600,Intermediate
82,Meteor X 60,head light,76,Victor,G3,Green/Yellow,25,carbon,isometric,1600,Intermediate
84,Nanoray 600,head light,77,Yonex,G5,Red/Black,26,carbon,isometric,1700,Intermediate
88,JS-25,head light,78,Victor,G3,Orange/White,26,carbon,isometric,1700,Intermediate
90,Hypernano X 500,head light,77,Yonex,G5,Yellow/Black,25,carbon,isometric,1600,Intermediate
94,Nanoflare 400,head light,76,Yonex,G3,White/Red,26,carbon,isometric,1700,Intermediate
97,Meteor X 120,head light,78,Victor,G3,Green/White,25,graphite,oval,1800,Intermediate
103,Jetspeed 20,head light,76,Victor,G4,Blue/Gold,25,graphite,oval,1600,Intermediate
108,Meteor X 95,even balance,83,Victor,G3,Purple/White,28,carbon,isometric,1900,Intermediate
110,Hypernano X 400,head light,77,Yonex,G5,White/Red,25,carbon,isometric,1700,Intermediate
114,Nanoflare 300,head light,76,Yonex,G3,Black/White,26,carbon,isometric,1600,Intermediate
117,Windstorm 800,head light,78,Carlton,G3,White/Green,25,graphite,oval,1700,Intermediate
122,Meteor X 55,head light,76,Victor,G3,Yellow/Black,25,carbon,isometric,1550,Intermediate
124,Nanoray 500,head light,77,Yonex,G5,Blue/Orange,26,carbon,isometric,1750,Intermediate
128,JS-35,head light,78,Victor,G3,Purple/Yellow,26,carbon,isometric,1700,Intermediate
130,Hypernano X 300,head light,77,Yonex,G5,Black/Green,25,carbon,isometric,1650,Intermediate
134,Nanoflare 200,head light,76,Yonex,G3,White/Black,26,carbon,isometric,1600,Intermediate
137,Meteor X 130,head light,78,Victor,G3,Green/Orange,25,graphite,oval,1750,Intermediate
142,PowerStrike 3000,head light,76,RSL,G3,Black/Neon Green,25,composite,isometric,1650,Intermediate
146,Titan Cloud,head light,77,Adidas,G4,Green/White,26,carbon,isometric,1700,Intermediate
149,Quantum X80,head light,78,Oliver,G4,Blue/Orange,26,graphite,oval,1750,Intermediate
153,Feather Light Pro,head light,75,Karakal,G5,Light Blue/White,25,carbon,oval,1600,Intermediate
156,Aero Smash,head light,77,Gosen,G5,Purple/Neon Yellow,26,carbon,isometric,1700,Intermediate
162,LightSpeed Pro,head light,76,Sotx,G3,White/Green,25,nano-alloy,isometric,1650,Intermediate
164,AirStream Lite,head light,75,Wish,G5,Yellow/Purple,26,graphite,isometric,1600,Intermediate
167,Feather Touch,head light,77,Kumpoo,G5,Pink/White,25,carbon,oval,1700,Intermediate
170,Swift Strike,head light,78,Victor,G5,Navy/Orange,26,carbon,isometric,1750,Intermediate
173,Cosmic Flare,head light,76,Carlton,G5,Blue/Yellow,25,graphite,oval,1650,Intermediate
176,Airborne Assault,head light,77,RSL,G5,Green/Silver,26,graphite,isometric,1700,Intermediate
182,Featherlight X,head light,75,Yehlex,G3,White/Lime,25,carbon,isometric,1600,Intermediate
184,AeroSwift Lite,head light,77,Talbot Torro,G5,Orange/Gray,26,carbon,isometric,1700,Intermediate
187,Swift Feather,head light,76,Pointfore,G5,Green/White,25,carbon,oval,1650,Intermediate
190,Stealth Shadow,head light,78,Mantis,G5,Charcoal/Neon Blue,26,carbon,isometric,1750,Intermediate
193,Cosmic Flare Lite,head light,76,FZ Forza,G5,Pink/Gray,25,graphite,oval,1650,Intermediate
196,LightSpeed Ace,head light,77,Dunlop,G5,Light Blue/Black,26,carbon,isometric,1700,Intermediate
202,Feather Rush,head light,76,Aerowing,G3,White/Neon Orange,25,carbon,isometric,1650,Intermediate
