Model_name,Racket_type,Weight,Brand,Grip_size,Color,Tension,Material,Head_shape,Price,Playing_level
Nanoray Light 18i,head heavy,77,Yonex,G4,Black,28,carbon,isometric,1800,Advanced
Voltric Z-Force II,head heavy,85,Yonex,G5,Gold,26,graphite,oval,2200,Professional
Aeronaut 7000,even balance,82,Li-Ning,G3,Red/White,27,carbon,isometric,1600,Intermediate
Duora 10,dual balanced,88,Yonex,G4,Blue/Orange,29,graphite,isometric,1900,Advanced
Meteor X 80,head light,76,Victor,G5,Green,25,carbon,oval,1500,Intermediate
Thruster K 15,head heavy,83,Kawasaki,G3,Black/Yellow,28,graphite,isometric,1400,Advanced
Turbo Charging 20,even balance,79,Li-Ning,G4,White/Blue,26,carbon,oval,1700,Intermediate
Arcsaber 11,even balance,86,Yonex,G5,Red/Black,27,graphite,isometric,2000,Professional
Astrox 88D,head heavy,88,Yonex,G4,Blue,29,graphite,isometric,2100,Professional
Windstorm 72,head light,75,Carlton,G3,Silver,24,aluminum,oval,1200,Beginner
Nanoflare 700,head light,78,Yonex,G4,Red,27,graphite,isometric,1900,Advanced
JS-12,even balance,81,Victor,G5,Black/Red,26,carbon,oval,1600,Intermediate
Air Blade 500,head heavy,84,Li-Ning,G3,Blue/White,28,graphite,isometric,1800,Advanced
Voltric 80 E-Tune,head heavy,86,Yonex,G4,Black/Gold,29,graphite,oval,2000,Professional
Jetspeed S 10,head light,77,Victor,G5,Orange,25,carbon,isometric,1500,Intermediate
Turbo Charging 75,even balance,80,Li-Ning,G4,White/Green,27,graphite,oval,1700,Advanced
Nanoray Z-Speed,head heavy,89,Yonex,G3,Yellow/Black,30,carbon,isometric,2200,Professional
Hypernano X 900,head light,76,Yonex,G5,Blue/White,26,graphite,oval,1800,Advanced
Thruster F Claw,head heavy,85,Kawasaki,G4,Green/Black,28,carbon,isometric,1600,Intermediate
Arcsaber FD,even balance,82,Yonex,G3,White,27,graphite,oval,1900,Advanced
Astrox 99,head heavy,88,Yonex,G4,Red/Black,29,graphite,isometric,2100,Professional
Jetspeed 12,head light,77,Victor,G5,Blue/Yellow,26,carbon,oval,1600,Intermediate
Windstorm 799,even balance,81,Carlton,G3,Silver/Red,27,graphite,isometric,1700,Advanced
Turbo Charging 50,head heavy,84,Li-Ning,G4,Black/Gold,28,carbon,oval,1900,Professional
Nanoray 900,head light,76,Yonex,G5,White/Blue,25,graphite,isometric,1800,Advanced
Thruster K 9,even balance,80,Kawasaki,G3,Green/White,27,carbon,oval,1500,Intermediate
Voltric Glanz,head heavy,86,Yonex,G4,Gold/Black,29,graphite,isometric,2000,Professional
Air Blade 600,head light,78,Li-Ning,G5,Red/Silver,26,carbon,oval,1700,Advanced
Meteor X 90,even balance,82,Victor,G3,Black/Orange,28,graphite,isometric,1800,Intermediate
Duora 7,dual balanced,85,Yonex,G4,Blue/Pink,27,carbon,oval,1900,Advanced
Hypernano X 800,head heavy,87,Yonex,G5,Yellow/Black,29,graphite,isometric,2100,Professional
JS-10,head light,76,Victor,G3,White/Red,25,carbon,oval,1600,Intermediate
Arcsaber 8 PB,even balance,83,Yonex,G4,Purple/Black,28,graphite,isometric,1900,Advanced
Thruster F NR,head heavy,85,Kawasaki,G5,Blue/Yellow,29,carbon,oval,1700,Professional
Windstorm 900,head light,77,Carlton,G3,Black/Silver,26,graphite,isometric,1500,Intermediate
Turbo Charging 30,even balance,81,Li-Ning,G4,White/Orange,27,carbon,oval,1800,Advanced
Nanoflare 800,head light,79,Yonex,G5,Blue/White,26,graphite,isometric,2000,Professional
Jetspeed S 12,head heavy,86,Victor,G3,Red/Black,28,carbon,oval,1900,Advanced
Astrox 77,even balance,82,Yonex,G4,Yellow/Black,27,graphite,isometric,1800,Intermediate
Voltric 0F,head heavy,88,Yonex,G5,Black/Red,29,carbon,oval,2200,Professional
Duora 88,dual balanced,86,Yonex,G4,White/Orange,28,graphite,isometric,2000,Professional
Air Blade 700,head light,77,Li-Ning,G5,Black/Gold,26,carbon,oval,1800,Advanced
Meteor X 100,head heavy,85,Victor,G3,Blue/Silver,29,carbon,isometric,1900,Professional
Thruster K 20,even balance,80,Kawasaki,G4,Green/Black,27,graphite,oval,1600,Intermediate
Nanoray 800,head light,78,Yonex,G5,Red/White,25,carbon,isometric,1700,Advanced
Voltric FB,head heavy,87,Yonex,G3,Gold/Blue,29,graphite,oval,2100,Professional
Windstorm 950,even balance,82,Carlton,G4,Silver/Green,28,carbon,isometric,1800,Advanced
Turbo Charging 60,head heavy,86,Li-Ning,G5,White/Red,30,graphite,oval,2000,Professional
JS-15,head light,76,Victor,G3,Orange/Black,25,carbon,isometric,1500,Intermediate
Arcsaber 10,even balance,83,Yonex,G4,Purple/White,27,graphite,oval,1900,Advanced
Hypernano X 1000,head heavy,88,Yonex,G5,Black/Yellow,29,carbon,isometric,2200,Professional
Jetspeed 15,head light,77,Victor,G3,Red/Silver,26,graphite,oval,1700,Intermediate
Astrox 66,even balance,81,Yonex,G4,Blue/Orange,28,carbon,isometric,1800,Advanced
Thruster F Pro,head heavy,85,Kawasaki,G5,Yellow/Black,29,graphite,oval,2000,Professional
Nanoflare 600,head light,78,Yonex,G3,White/Blue,26,carbon,isometric,1900,Advanced
Turbo Charging 40,even balance,82,Li-Ning,G4,Black/Red,27,graphite,oval,1700,Intermediate
Voltric Z-Force,head heavy,87,Yonex,G5,Gold/Black,30,carbon,isometric,2100,Professional
Meteor X 70,head light,76,Victor,G3,Green/White,25,graphite,oval,1600,Intermediate
Duora 6,dual balanced,84,Yonex,G4,Pink/Black,28,carbon,isometric,1800,Advanced
Air Blade 800,head heavy,86,Li-Ning,G5,Silver/Blue,29,graphite,oval,2000,Professional
Duora 5,dual balanced,83,Yonex,G4,Pink/Blue,27,carbon,isometric,1800,Advanced
Air Blade 1000,head heavy,86,Li-Ning,G5,Black/Silver,29,graphite,oval,2100,Professional
Meteor X 60,head light,76,Victor,G3,Green/Yellow,25,carbon,isometric,1600,Intermediate
Thruster K 30,even balance,82,Kawasaki,G4,Blue/White,28,graphite,oval,1900,Advanced
Nanoray 600,head light,77,Yonex,G5,Red/Black,26,carbon,isometric,1700,Intermediate
Voltric 70,head heavy,87,Yonex,G3,Gold/Red,30,graphite,oval,2000,Professional
Windstorm 920,even balance,81,Carlton,G4,Silver/Blue,27,carbon,isometric,1800,Advanced
