,Model_name,Racket_type,Weight,Brand,Grip_size,Color,Tension,Material,Head_shape,Price,Playing_level
0,Nanoray Light 18i,head heavy,77,Yonex,G4,Black,28,carbon,isometric,1800,Advanced
3,Duora 10,dual balanced,88,Yonex,G4,Blue/Orange,29,graphite,isometric,1900,Advanced
5,Thruster K 15,head heavy,83,Kawasaki,G3,Black/Yellow,28,graphite,isometric,1400,Advanced
10,Nanoflare 700,head light,78,Yonex,G4,Red,27,graphite,isometric,1900,Advanced
12,Air Blade 500,head heavy,84,Li-Ning,G3,Blue/White,28,graphite,isometric,1800,Advanced
15,Turbo Charging 75,even balance,80,Li-Ning,G4,White/Green,27,graphite,oval,1700,Advanced
17,Hypernano X 900,head light,76,Yonex,G5,Blue/White,26,graphite,oval,1800,Advanced
19,Arcsaber FD,even balance,82,Yonex,G3,White,27,graphite,oval,1900,Advanced
22,Windstorm 799,even balance,81,Carlton,G3,Silver/Red,27,graphite,isometric,1700,Advanced
24,Nanoray 900,head light,76,Yonex,G5,White/Blue,25,graphite,isometric,1800,Advanced
27,Air Blade 600,head light,78,Li-Ning,G5,Red/Silver,26,carbon,oval,1700,Advanced
29,Duora 7,dual balanced,85,Yonex,G4,Blue/Pink,27,carbon,oval,1900,Advanced
32,Arcsaber 8 PB,even balance,83,Yonex,G4,Purple/Black,28,graphite,isometric,1900,Advanced
35,Turbo Charging 30,even balance,81,Li-Ning,G4,White/Orange,27,carbon,oval,1800,Advanced
37,Jetspeed S 12,head heavy,86,Victor,G3,Red/Black,28,carbon,oval,1900,Advanced
41,Air Blade 700,head light,77,Li-Ning,G5,Black/Gold,26,carbon,oval,1800,Advanced
44,Nanoray 800,head light,78,Yonex,G5,Red/White,25,carbon,isometric,1700,Advanced
46,Windstorm 950,even balance,82,Carlton,G4,Silver/Green,28,carbon,isometric,1800,Advanced
49,Arcsaber 10,even balance,83,Yonex,G4,Purple/White,27,graphite,oval,1900,Advanced
52,Astrox 66,even balance,81,Yonex,G4,Blue/Orange,28,carbon,isometric,1800,Advanced
54,Nanoflare 600,head light,78,Yonex,G3,White/Blue,26,carbon,isometric,1900,Advanced
58,Duora 6,dual balanced,84,Yonex,G4,Pink/Black,28,carbon,isometric,1800,Advanced
61,Air Blade 700,head light,77,Li-Ning,G5,Black/Gold,26,carbon,oval,1800,Advanced
64,Nanoray 800,head light,78,Yonex,G5,Red/White,25,carbon,isometric,1700,Advanced
66,Windstorm 950,even balance,82,Carlton,G4,Silver/Green,28,carbon,isometric,1800,Advanced
69,Arcsaber 10,even balance,83,Yonex,G4,Purple/White,27,graphite,oval,1900,Advanced
72,Astrox 66,even balance,81,Yonex,G4,Blue/Orange,28,carbon,isometric,1800,Advanced
74,Nanoflare 600,head light,78,Yonex,G3,White/Blue,26,carbon,isometric,1900,Advanced
78,Duora 6,dual balanced,84,Yonex,G4,Pink/Black,28,carbon,isometric,1800,Advanced
80,Duora 5,dual balanced,83,Yonex,G4,Pink/Blue,27,carbon,isometric,1800,Advanced
83,Thruster K 30,even balance,82,Kawasaki,G4,Blue/White,28,graphite,oval,1900,Advanced
86,Windstorm 920,even balance,81,Carlton,G4,Silver/Blue,27,carbon,isometric,1800,Advanced
89,Arcsaber 6,even balance,82,Yonex,G4,Purple/Gold,28,graphite,oval,1900,Advanced
92,Astrox 58,even balance,80,Yonex,G4,Blue/Silver,27,carbon,isometric,1800,Advanced
95,Turbo Charging 70,even balance,83,Li-Ning,G4,Silver/Orange,28,graphite,oval,1900,Advanced
98,Duora 4,dual balanced,84,Yonex,G4,Orange/Black,27,carbon,isometric,1900,Advanced
100,Windstorm 980,head light,77,Carlton,G4,Silver/Purple,26,carbon,isometric,1700,Advanced
102,Thruster K 35,head heavy,85,Kawasaki,G3,Black/Orange,29,carbon,isometric,2000,Advanced
104,Astrox 52,even balance,81,Yonex,G5,Yellow/Black,27,carbon,isometric,1800,Advanced
107,Air Blade 850,head light,78,Li-Ning,G5,Black/Silver,26,graphite,oval,1800,Advanced
109,Duora 3,dual balanced,84,Yonex,G4,Pink/Black,27,graphite,oval,1900,Advanced
112,Arcsaber 5,even balance,82,Yonex,G4,Blue/Orange,28,carbon,isometric,1800,Advanced
115,Turbo Charging 55,even balance,83,Li-Ning,G4,Silver/Blue,27,graphite,oval,1900,Advanced
118,Jetspeed 25,even balance,81,Victor,G4,Orange/Silver,28,carbon,isometric,1800,Advanced
120,Duora 2,dual balanced,83,Yonex,G4,White/Purple,27,carbon,isometric,1850,Advanced
123,Thruster K 40,even balance,82,Kawasaki,G4,Green/White,28,graphite,oval,1950,Advanced
126,Windstorm 890,even balance,81,Carlton,G4,Silver/Black,27,carbon,isometric,1800,Advanced
129,Arcsaber 4,even balance,82,Yonex,G4,Orange/White,28,graphite,oval,1900,Advanced
132,Astrox 46,even balance,80,Yonex,G4,Red/White,27,carbon,isometric,1850,Advanced
135,Turbo Charging 45,even balance,83,Li-Ning,G4,Gold/Red,28,graphite,oval,1950,Advanced
138,Duora 1,dual balanced,84,Yonex,G4,Pink/White,27,carbon,isometric,1900,Advanced
141,Swift Blade 700,even balance,81,Ashaway,G5,Red/Gold,27,carbon,oval,1800,Advanced
143,Fusion Pro,dual balanced,84,Apacs,G4,White/Blue,28,nanomesh,oval,1900,Advanced
145,Cosmic GX,even balance,82,Mizuno,G3,Purple/Silver,28,graphite,oval,1850,Advanced
148,Stealth Blade,even balance,80,Black Knight,G3,Silver/Red,27,carbon,isometric,1800,Advanced
151,Airstream 9000,even balance,83,Fleet,G3,White/Gold,28,carbon,oval,1900,Advanced
154,Titan Woven,even balance,82,Tactic,G3,Black/Orange,27,graphite,isometric,1850,Advanced
157,Phantom X-Speed,even balance,81,Ashaway,G3,Silver/Blue,28,graphite,oval,1800,Advanced
159,Kinetic K9,dual balanced,83,Yehlex,G5,White/Red,27,carbon,oval,1900,Advanced
161,AeroFlex Elite,even balance,82,Yang Yang,G5,Blue/Silver,28,carbon,oval,1900,Advanced
165,Quantum Blade,even balance,83,Toalson,G3,Black/Neon Blue,28,carbon,oval,1850,Advanced
168,Vortex Storm,even balance,82,Babolat,G3,Green/Gold,27,graphite,isometric,1900,Advanced
171,Precision Master,even balance,81,Li-Ning,G3,Red/White,28,aerotec beam,oval,1850,Advanced
174,Titan Force,even balance,83,Ashaway,G3,White/Black,28,carbon,isometric,1900,Advanced
177,Phantom Edge,even balance,82,Apacs,G3,Purple/Gold,27,carbon,oval,1850,Advanced
179,Kinetic Wave,dual balanced,84,Fleet,G5,Yellow/Black,28,carbon,oval,1950,Advanced
181,Zenith Pro,even balance,82,Xamsa,G5,Black/Silver,27,graphite,oval,1900,Advanced
185,Quantum Flux,even balance,83,Senston,G3,Purple/Neon Yellow,28,nano-composite,oval,1850,Advanced
188,Vortex Precision,even balance,81,Oliver,G3,Silver/Black,27,graphite,isometric,1800,Advanced
191,Hurricane Force Pro,even balance,82,Karakal,G3,Red/Silver,28,graphite,oval,1900,Advanced
194,AirStream Assault,even balance,83,Fleet,G3,Navy/Neon Green,28,carbon,isometric,1950,Advanced
197,Precision Elite,even balance,82,Donnay,G3,Orange/White,27,graphite,oval,1850,Advanced
199,Kinetic Pulse,dual balanced,84,Ashaway,G5,Purple/Silver,28,graphite,oval,1950,Advanced
201,Velocity Pro,even balance,83,Swiftblade,G5,Red/Black,28,graphite,oval,1950,Advanced
205,Quantum Surge,even balance,82,Nanotech,G3,Electric Blue/White,27,graphite,oval,1850,Advanced
208,Vortex Extreme,even balance,84,Extremeforce,G3,Orange/Dark Gray,28,graphite,isometric,1900,Advanced
211,Hurricane X-Force,even balance,83,Stormtech,G3,Navy/Flash Orange,28,carbon,oval,1950,Advanced
214,AirStream Elite,even balance,82,Eliteforce,G3,White/Royal Blue,27,carbon,isometric,1850,Advanced
217,Precision Sniper,even balance,81,Sharpshooter,G3,Green/Black,28,graphite,oval,1800,Advanced
219,Kinetic Fusion,dual balanced,84,Fusioncraft,G5,Fusion Purple/Gold,28,graphite,oval,1950,Advanced
221,Nimbus Cloud,even balance,82,Cloudstrike,G5,Cloud White/Sky Blue,27,graphite,oval,1900,Advanced
225,Quantum Leap,even balance,83,LeapForce,G3,Quantum Purple/Neon Green,28,graphite,oval,1950,Advanced
228,Vortex Typhoon,even balance,84,TyphoonForce,G3,Typhoon Teal/Orange,28,carbon,isometric,1950,Advanced
231,Hurricane Tempest,even balance,83,TempestForce,G3,Tempest Blue/Flash Yellow,28,graphite,oval,1900,Advanced
234,AirStream Jet,even balance,82,JetStream,G3,Jet Black/Neon Blue,27,carbon,isometric,1850,Advanced
237,Precision Hawk,even balance,81,HawkEye,G3,Hawk Brown/Forest Green,28,graphite,oval,1800,Advanced
239,Kinetic Electron,dual balanced,84,ElectronTech,G5,Electron Blue/Proton Red,28,graphite,oval,1950,Advanced
241,Helios Sun,even balance,83,SolarForce,G5,Solar Yellow/Helios Orange,28,graphite,oval,1950,Advanced
245,Quantum Quasar,even balance,82,QuasarTech,G3,Quasar Purple/Cosmic White,27,graphite,oval,1850,Advanced
248,Vortex Maelstrom,even balance,84,MaelstromTech,G3,Maelstrom Blue/Whirlpool White,28,carbon,isometric,1900,Advanced
