,Model_name,Racket_type,Weight,Brand,Grip_size,Color,Tension,Material,Head_shape,Price,Playing_level
0,Nanoray Light 18i,head heavy,77,Yonex,G4,Black,28,carbon,isometric,1800,Advanced
1,Voltric Z-Force II,head heavy,85,Yonex,G5,Gold,26,graphite,oval,2200,Professional
2,Aeronaut 7000,even balance,82,Li-Ning,G3,Red/White,27,carbon fiber,isometric,1600,Intermediate
3,Duora 10,dual balanced,88,Yonex,G4,Blue/Orange,29,graphite,isometric,1900,Advanced
4,Meteor X 80,head light,76,Victor,G5,Green,25,carbon,oval,1500,Intermediate
5,Thruster K 15,head heavy,83,Kawasaki,G3,Black/Yellow,28,graphite,isometric,1400,Advanced
6,Turbo Charging 20,even balance,79,Li-Ning,G4,White/Blue,26,carbon fiber,oval,1700,Intermediate
7,Arcsaber 11,even balance,86,Yonex,G5,Red/Black,27,graphite,isometric,2000,Professional
8,Astrox 88D,head heavy,88,Yonex,G4,Blue,29,graphite,isometric,2100,Professional
9,Windstorm 72,head light,75,Carlton,G3,Silver,24,aluminum,oval,1200,Beginner
10,Nanoflare 700,head light,78,Yonex,G4,Red,27,graphite,isometric,1900,Advanced
11,JS-12,even balance,81,Victor,G5,Black/Red,26,carbon,oval,1600,Intermediate
12,Air Blade 500,head heavy,84,Li-Ning,G3,Blue/White,28,graphite,isometric,1800,Advanced
13,Voltric 80 E-Tune,head heavy,86,Yonex,G4,Black/Gold,29,graphite,oval,2000,Professional
14,Jetspeed S 10,head light,77,Victor,G5,Orange,25,carbon fiber,isometric,1500,Intermediate
15,Turbo Charging 75,even balance,80,Li-Ning,G4,White/Green,27,graphite,oval,1700,Advanced
16,Nanoray Z-Speed,head heavy,89,Yonex,G3,Yellow/Black,30,carbon,isometric,2200,Professional
17,Hypernano X 900,head light,76,Yonex,G5,Blue/White,26,graphite,oval,1800,Advanced
18,Thruster F Claw,head heavy,85,Kawasaki,G4,Green/Black,28,carbon fiber,isometric,1600,Intermediate
19,Arcsaber FD,even balance,82,Yonex,G3,White,27,graphite,oval,1900,Advanced
20,Astrox 99,head heavy,88,Yonex,G4,Red/Black,29,graphite,isometric,2100,Professional
21,Jetspeed 12,head light,77,Victor,G5,Blue/Yellow,26,carbon,oval,1600,Intermediate
22,Windstorm 799,even balance,81,Carlton,G3,Silver/Red,27,graphite,isometric,1700,Advanced
23,Turbo Charging 50,head heavy,84,Li-Ning,G4,Black/Gold,28,carbon fiber,oval,1900,Professional
24,Nanoray 900,head light,76,Yonex,G5,White/Blue,25,graphite,isometric,1800,Advanced
25,Thruster K 9,even balance,80,Kawasaki,G3,Green/White,27,carbon,oval,1500,Intermediate
26,Voltric Glanz,head heavy,86,Yonex,G4,Gold/Black,29,graphite,isometric,2000,Professional
27,Air Blade 600,head light,78,Li-Ning,G5,Red/Silver,26,carbon fiber,oval,1700,Advanced
28,Meteor X 90,even balance,82,Victor,G3,Black/Orange,28,graphite,isometric,1800,Intermediate
29,Duora 7,dual balanced,85,Yonex,G4,Blue/Pink,27,carbon,oval,1900,Advanced
30,Hypernano X 800,head heavy,87,Yonex,G5,Yellow/Black,29,graphite,isometric,2100,Professional
31,JS-10,head light,76,Victor,G3,White/Red,25,carbon fiber,oval,1600,Intermediate
32,Arcsaber 8 PB,even balance,83,Yonex,G4,Purple/Black,28,graphite,isometric,1900,Advanced
33,Thruster F NR,head heavy,85,Kawasaki,G5,Blue/Yellow,29,carbon,oval,1700,Professional
34,Windstorm 900,head light,77,Carlton,G3,Black/Silver,26,graphite,isometric,1500,Intermediate
35,Turbo Charging 30,even balance,81,Li-Ning,G4,White/Orange,27,carbon fiber,oval,1800,Advanced
36,Nanoflare 800,head light,79,Yonex,G5,Blue/White,26,graphite,isometric,2000,Professional
37,Jetspeed S 12,head heavy,86,Victor,G3,Red/Black,28,carbon,oval,1900,Advanced
38,Astrox 77,even balance,82,Yonex,G4,Yellow/Black,27,graphite,isometric,1800,Intermediate
39,Voltric 0F,head heavy,88,Yonex,G5,Black/Red,29,carbon fiber,oval,2200,Professional
40,Duora 88,dual balanced,86,Yonex,G4,White/Orange,28,graphite,isometric,2000,Professional
41,Air Blade 700,head light,77,Li-Ning,G5,Black/Gold,26,carbon fiber,oval,1800,Advanced
42,Meteor X 100,head heavy,85,Victor,G3,Blue/Silver,29,carbon,isometric,1900,Professional
43,Thruster K 20,even balance,80,Kawasaki,G4,Green/Black,27,graphite,oval,1600,Intermediate
44,Nanoray 800,head light,78,Yonex,G5,Red/White,25,carbon,isometric,1700,Advanced
45,Voltric FB,head heavy,87,Yonex,G3,Gold/Blue,29,graphite,oval,2100,Professional
46,Windstorm 950,even balance,82,Carlton,G4,Silver/Green,28,carbon fiber,isometric,1800,Advanced
47,Turbo Charging 60,head heavy,86,Li-Ning,G5,White/Red,30,graphite,oval,2000,Professional
48,JS-15,head light,76,Victor,G3,Orange/Black,25,carbon,isometric,1500,Intermediate
49,Arcsaber 10,even balance,83,Yonex,G4,Purple/White,27,graphite,oval,1900,Advanced
50,Hypernano X 1000,head heavy,88,Yonex,G5,Black/Yellow,29,carbon fiber,isometric,2200,Professional
51,Jetspeed 15,head light,77,Victor,G3,Red/Silver,26,graphite,oval,1700,Intermediate
52,Astrox 66,even balance,81,Yonex,G4,Blue/Orange,28,carbon,isometric,1800,Advanced
53,Thruster F Pro,head heavy,85,Kawasaki,G5,Yellow/Black,29,graphite,oval,2000,Professional
54,Nanoflare 600,head light,78,Yonex,G3,White/Blue,26,carbon fiber,isometric,1900,Advanced
55,Turbo Charging 40,even balance,82,Li-Ning,G4,Black/Red,27,graphite,oval,1700,Intermediate
56,Voltric Z-Force,head heavy,87,Yonex,G5,Gold/Black,30,carbon,isometric,2100,Professional
57,Meteor X 70,head light,76,Victor,G3,Green/White,25,graphite,oval,1600,Intermediate
58,Duora 6,dual balanced,84,Yonex,G4,Pink/Black,28,carbon fiber,isometric,1800,Advanced
59,Air Blade 800,head heavy,86,Li-Ning,G5,Silver/Blue,29,graphite,oval,2000,Professional
80,Duora 5,dual balanced,83,Yonex,G4,Pink/Blue,27,carbon fiber,isometric,1800,Advanced
81,Air Blade 1000,head heavy,86,Li-Ning,G5,Black/Silver,29,graphite,oval,2100,Professional
82,Meteor X 60,head light,76,Victor,G3,Green/Yellow,25,carbon,isometric,1600,Intermediate
83,Thruster K 30,even balance,82,Kawasaki,G4,Blue/White,28,graphite,oval,1900,Advanced
84,Nanoray 600,head light,77,Yonex,G5,Red/Black,26,carbon fiber,isometric,1700,Intermediate
85,Voltric 70,head heavy,87,Yonex,G3,Gold/Red,30,graphite,oval,2000,Professional
86,Windstorm 920,even balance,81,Carlton,G4,Silver/Blue,27,carbon,isometric,1800,Advanced
87,Turbo Charging 100,head heavy,85,Li-Ning,G5,White/Black,29,graphite,oval,2100,Professional
88,JS-25,head light,78,Victor,G3,Orange/White,26,carbon fiber,isometric,1700,Intermediate
89,Arcsaber 6,even balance,82,Yonex,G4,Purple/Gold,28,graphite,oval,1900,Advanced
90,Hypernano X 500,head light,77,Yonex,G5,Yellow/Black,25,carbon,isometric,1600,Intermediate
91,Jetspeed S 18,head heavy,86,Victor,G3,Red/Blue,29,graphite,oval,2000,Professional
92,Astrox 58,even balance,80,Yonex,G4,Blue/Silver,27,carbon fiber,isometric,1800,Advanced
93,Thruster F Blade,head heavy,85,Kawasaki,G5,Black/Green,30,graphite,oval,2000,Professional
94,Nanoflare 400,head light,76,Yonex,G3,White/Red,26,carbon,isometric,1700,Intermediate
95,Turbo Charging 70,even balance,83,Li-Ning,G4,Silver/Orange,28,graphite,oval,1900,Advanced
96,Voltric 3,head heavy,87,Yonex,G5,Black/Gold,29,carbon fiber,isometric,2100,Professional
97,Meteor X 120,head light,78,Victor,G3,Green/White,25,graphite,oval,1800,Intermediate
98,Duora 4,dual balanced,84,Yonex,G4,Orange/Black,27,carbon,isometric,1900,Advanced
99,Air Blade 950,head heavy,86,Li-Ning,G5,Blue/Yellow,30,graphite,oval,2000,
100,Windstorm 980,head light,77,Carlton,G4,Silver/Purple,26,carbon fiber,isometric,1700,Advanced
101,Nanoray 550,even balance,82,Yonex,G5,Red/White,28,graphite,oval,1900,Professional
102,Thruster K 35,head heavy,85,Kawasaki,G3,Black/Orange,29,carbon,isometric,2000,Advanced
103,Jetspeed 20,head light,76,Victor,G4,Blue/Gold,25,graphite,oval,1600,Intermediate
104,Astrox 52,even balance,81,Yonex,G5,Yellow/Black,27,carbon fiber,isometric,1800,Advanced
105,Turbo Charging 110,head heavy,87,Li-Ning,G3,White/Green,30,graphite,oval,2100,Professional
106,Voltric 65,head heavy,86,Yonex,G4,Gold/Blue,29,carbon,isometric,2000,Professional
107,Air Blade 850,head light,78,Li-Ning,G5,Black/Silver,26,graphite,oval,1800,Advanced
108,Meteor X 95,even balance,83,Victor,G3,Purple/White,28,carbon fiber,isometric,1900,Intermediate
109,Duora 3,dual balanced,84,Yonex,G4,Pink/Black,27,graphite,oval,1900,Advanced
110,Hypernano X 400,head light,77,Yonex,G5,White/Red,25,carbon,isometric,1700,Intermediate
111,JS-30,head heavy,85,Victor,G3,Green/Gold,29,graphite,oval,2000,Professional
112,Arcsaber 5,even balance,82,Yonex,G4,Blue/Orange,28,carbon fiber,isometric,1800,Advanced
113,Thruster F Power,head heavy,86,Kawasaki,G5,Red/Yellow,30,graphite,oval,2100,Professional
114,Nanoflare 300,head light,76,Yonex,G3,Black/White,26,carbon,isometric,1600,Intermediate
115,Turbo Charging 55,even balance,83,Li-Ning,G4,Silver/Blue,27,graphite,oval,1900,Advanced
116,Voltric 1,head heavy,87,Yonex,G5,Gold/Black,29,carbon fiber,isometric,2000,Professional
117,Windstorm 800,head light,78,Carlton,G3,White/Green,25,graphite,oval,1700,Intermediate
118,Jetspeed 25,even balance,81,Victor,G4,Orange/Silver,28,carbon,isometric,1800,Advanced
119,Astrox 48,head heavy,85,Yonex,G5,Blue/Red,29,graphite,oval,2000,Professional
120,Duora 2,dual balanced,83,Yonex,G4,White/Purple,27,carbon fiber,isometric,1850,Advanced
121,Air Blade 750,head heavy,86,Li-Ning,G5,Black/Red,29,graphite,oval,2050,Professional
122,Meteor X 55,head light,76,Victor,G3,Yellow/Black,25,carbon,isometric,1550,Intermediate
123,Thruster K 40,even balance,82,Kawasaki,G4,Green/White,28,graphite,oval,1950,Advanced
124,Nanoray 500,head light,77,Yonex,G5,Blue/Orange,26,carbon fiber,isometric,1750,Intermediate
125,Voltric 60,head heavy,87,Yonex,G3,Red/Gold,30,graphite,oval,2100,Professional
126,Windstorm 890,even balance,81,Carlton,G4,Silver/Black,27,carbon,isometric,1800,Advanced
127,Turbo Charging 95,head heavy,85,Li-Ning,G5,White/Blue,29,graphite,oval,2000,Professional
128,JS-35,head light,78,Victor,G3,Purple/Yellow,26,carbon fiber,isometric,1700,Intermediate
129,Arcsaber 4,even balance,82,Yonex,G4,Orange/White,28,graphite,oval,1900,Advanced
130,Hypernano X 300,head light,77,Yonex,G5,Black/Green,25,carbon,isometric,1650,Intermediate
131,Jetspeed S 20,head heavy,86,Victor,G3,Blue/Silver,29,graphite,oval,2050,Professional
132,Astrox 46,even balance,80,Yonex,G4,Red/White,27,carbon fiber,isometric,1850,Advanced
133,Thruster F Speed,head heavy,85,Kawasaki,G5,Yellow/Blue,30,graphite,oval,2100,Professional
134,Nanoflare 200,head light,76,Yonex,G3,White/Black,26,carbon,isometric,1600,Intermediate
135,Turbo Charging 45,even balance,83,Li-Ning,G4,Gold/Red,28,graphite,oval,1950,Advanced
136,Voltric 0,head heavy,87,Yonex,G5,Black/Silver,29,carbon fiber,isometric,2150,Professional
137,Meteor X 130,head light,78,Victor,G3,Green/Orange,25,graphite,oval,1750,Intermediate
138,Duora 1,dual balanced,84,Yonex,G4,Pink/White,27,carbon,isometric,1900,Advanced
140,Skyline X90,head heavy,87,Forza,G4,Navy/Silver,29,graphite,isometric,1950,Professional
141,Swift Blade 700,even balance,81,Ashaway,G5,Red/Gold,27,carbon fiber,oval,1800,Advanced
142,PowerStrike 3000,head light,76,RSL,G3,Black/Neon Green,25,composite,isometric,1650,Intermediate
143,Fusion Pro,dual balanced,84,Apacs,G4,White/Blue,28,nanomesh,oval,1900,Advanced
144,Tornado Force,head heavy,86,Babolat,G5,Orange/Gray,30,tungsten,isometric,2100,Professional
145,Cosmic GX,even balance,82,Mizuno,G3,Purple/Silver,28,graphite,oval,1850,Advanced
146,Titan Cloud,head light,77,Adidas,G4,Green/White,26,carbon,isometric,1700,Intermediate
147,Precision Pro,head heavy,85,Wilson,G5,Black/Yellow,29,kevlar,oval,2000,Professional
